City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Valparaiso,CL,-33.04,-71.63,69.8,28,21,4.7,few clouds,0.0,0.0
1,Leningradskiy,RU,69.38,178.42,24.84,98,98,3.76,overcast clouds,0.0,0.0
2,Tuatapere,NZ,-46.13,167.68,47.46,82,99,4.76,overcast clouds,0.0,0.0
3,Nakambala,ZM,-15.83,27.78,69.04,31,0,3.76,clear sky,0.0,0.0
4,Mataura,NZ,-46.19,168.86,42.12,86,97,3.06,overcast clouds,0.0,0.0
5,Port Alfred,ZA,-33.59,26.89,64.99,76,9,7.0,clear sky,0.0,0.0
6,Atuona,PF,-9.8,-139.03,81.9,67,1,15.35,clear sky,0.0,0.0
7,Coquimbo,CL,-29.95,-71.34,60.8,67,21,8.05,few clouds,0.0,0.0
8,Antalaha,MG,-14.9,50.28,74.16,73,69,7.02,broken clouds,0.0,0.0
9,Albany,US,42.6,-73.97,54.0,21,0,11.79,clear sky,0.0,0.0
10,Bluff,NZ,-46.6,168.33,46.72,84,99,9.48,overcast clouds,0.0,0.0
11,Tual,ID,-5.67,132.75,83.34,81,82,15.95,broken clouds,0.0,0.0
12,Goderich,CA,43.75,-81.72,52.0,43,0,1.99,clear sky,0.0,0.0
13,Te Anau,NZ,-45.42,167.72,47.28,87,100,2.17,overcast clouds,0.0,0.0
14,Carnarvon,AU,-24.87,113.63,71.56,61,0,11.63,clear sky,0.0,0.0
15,Aguimes,ES,27.91,-15.45,73.4,64,40,9.17,scattered clouds,0.0,0.0
16,Lokosovo,RU,61.13,74.82,63.9,50,45,10.6,scattered clouds,0.0,0.0
17,Pisco,PE,-13.7,-76.22,69.8,73,2,6.93,clear sky,0.0,0.0
18,Busselton,AU,-33.65,115.33,55.99,62,76,5.99,broken clouds,0.0,0.0
19,Ornskoldsvik,SE,63.29,18.72,46.4,28,89,17.22,overcast clouds,0.0,0.0
20,Upernavik,GL,72.79,-56.15,35.65,86,96,1.72,overcast clouds,0.0,0.0
21,Miraflores,MX,19.22,-98.81,71.6,33,5,3.36,clear sky,0.0,0.0
22,Yellowknife,CA,62.46,-114.35,21.2,62,20,3.36,few clouds,0.0,0.0
23,Rikitea,PF,-23.12,-134.97,77.49,85,25,13.89,scattered clouds,0.0,0.0
24,Mahebourg,MU,-20.41,57.7,71.6,73,75,12.37,broken clouds,0.0,0.0
25,Cape Town,ZA,-33.93,18.42,64.99,67,20,6.93,few clouds,0.0,0.0
26,Pundaguitan,PH,6.37,126.17,83.44,80,84,10.85,light rain,0.27,0.0
27,Ban Nahin,LA,18.24,104.21,79.07,76,11,3.49,few clouds,0.0,0.0
28,Dingle,PH,11.0,122.67,80.42,80,88,4.09,overcast clouds,0.0,0.0
29,Spirit River,CA,55.78,-118.84,50.0,43,40,4.7,scattered clouds,0.0,0.0
30,Ushuaia,AR,-54.8,-68.3,42.8,70,75,11.41,broken clouds,0.0,0.0
31,Avarua,CK,-21.21,-159.78,75.2,100,2,2.24,clear sky,0.0,0.0
32,Kirakira,SB,-10.45,161.92,79.0,83,85,8.03,light rain,0.5,0.0
33,Castro,BR,-24.79,-50.01,66.94,72,98,11.72,overcast clouds,0.0,0.0
34,Camocim,BR,-2.9,-40.84,85.64,74,82,7.56,light rain,0.22,0.0
35,Takoradi,GH,4.88,-1.76,84.61,73,13,10.09,few clouds,0.0,0.0
36,Tasiilaq,GL,65.61,-37.64,39.2,75,20,8.05,fog,0.0,0.0
37,Codrington,AU,-38.27,141.97,49.37,67,85,4.14,overcast clouds,0.0,0.0
38,Hobart,AU,-42.88,147.33,46.99,70,40,5.82,scattered clouds,0.0,0.0
