City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Valparaiso,CL,69.8,few clouds,-33.04,-71.63,Hotel Ultramar
3,Nakambala,ZM,69.04,clear sky,-15.83,27.78,Staff Area
5,Port Alfred,ZA,64.99,clear sky,-33.59,26.89,The Halyards Hotel
7,Coquimbo,CL,60.8,few clouds,-29.95,-71.34,Hotel San Juan
8,Antalaha,MG,74.16,broken clouds,-14.9,50.28,Hotel Vitasoa
14,Carnarvon,AU,71.56,clear sky,-24.87,113.63,Hospitality Carnarvon
15,Aguimes,ES,73.4,scattered clouds,27.91,-15.45,Hotel Villa de Aguimes
16,Lokosovo,RU,63.9,scattered clouds,61.13,74.82,
17,Pisco,PE,69.8,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
21,Miraflores,MX,71.6,clear sky,19.22,-98.81,Hotel Mansión
23,Rikitea,PF,77.49,scattered clouds,-23.12,-134.97,Pension Maro'i
24,Mahebourg,MU,71.6,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
25,Cape Town,ZA,64.99,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
27,Ban Nahin,LA,79.07,few clouds,18.24,104.21,
31,Avarua,CK,75.2,clear sky,-21.21,-159.78,Paradise Inn
33,Castro,BR,66.94,overcast clouds,-24.79,-50.01,CHACARA BAILLY
39,Faya,SA,77.0,few clouds,18.39,42.45,مقبرة ال مجمل
41,Tabas,IR,72.91,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
44,West Chester,US,61.0,clear sky,39.96,-75.61,Microtel Inn & Suites by Wyndham West Chester
49,Narsingdi,BD,78.8,haze,23.92,90.72,Abdul Kadir Mollah City College Boys Hostel
55,Chuy,UY,63.61,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
56,Yinchuan,CN,63.07,broken clouds,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
58,Bredasdorp,ZA,60.8,few clouds,-34.53,20.04,Bredasdorp Country Manor
59,Baturaja,ID,75.76,overcast clouds,-4.13,104.17,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
62,Bambous Virieux,MU,71.6,broken clouds,-20.34,57.76,Casa Tia Villa
63,Zambezi,ZM,67.32,clear sky,-13.54,23.1,Royal Kutachika Lodge
67,Vao,NC,72.63,broken clouds,-22.67,167.48,Hotel Kou-Bugny
70,Victoria,HK,78.01,overcast clouds,22.29,114.16,Mini Hotel Central
71,Dakar,SN,77.0,clear sky,14.69,-17.44,Novotel Dakar
74,Sao Filipe,CV,74.16,clear sky,14.9,-24.5,Tortuga B&B
78,Honiara,SB,75.2,few clouds,-9.43,159.95,Heritage Park Hotel
79,Souillac,MU,71.6,broken clouds,-20.52,57.52,Bils' Villa
80,Naze,JP,69.8,overcast clouds,28.37,129.48,奄美ポートタワーホテル
84,Ambilobe,MG,75.69,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
86,Hervey Bay,AU,63.0,overcast clouds,-25.3,152.85,Shelly Bay Resort
89,Santander,ES,60.01,overcast clouds,43.46,-3.8,Abba Santander Hotel
92,Pacific Grove,US,64.4,clear sky,36.62,-121.92,Lovers Point Inn
94,Sembe,CG,75.85,broken clouds,1.65,14.58,
95,Nuevitas,CU,75.2,moderate rain,21.55,-77.26,Hotel Caonaba
100,Bengkulu,ID,79.79,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
101,Hermanus,ZA,62.01,few clouds,-34.42,19.23,Misty Waves Boutique Hotel
102,Lompoc,US,60.01,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
105,Derzhavinsk,KZ,66.9,scattered clouds,51.1,66.32,Ooo.khim Baza
110,Vaini,TO,71.6,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
111,East London,ZA,67.1,clear sky,-33.02,27.91,Tu Casa
114,Nador,MA,68.0,clear sky,35.17,-2.93,Hôtel La Giralda
125,Vila Franca Do Campo,PT,60.8,scattered clouds,37.72,-25.43,Pestana Bahia Praia
130,Wichita Falls,US,72.0,broken clouds,33.91,-98.49,Quality Inn & Suites Wichita Falls I-44
131,Quelimane,MZ,77.0,few clouds,-17.88,36.89,Hotel Flamingo
143,General Pico,AR,60.66,clear sky,-35.66,-63.76,Hotel Malargue
147,Constitucion,CL,61.86,scattered clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
148,Sinazongwe,ZM,73.08,clear sky,-17.26,27.46,Lakeview Lodge
153,Saint-Philippe,RE,75.2,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
154,Nishihara,JP,71.6,clear sky,26.18,127.76,Minshuku Agaihama
156,Chicama,PE,78.4,scattered clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
