City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Morant Bay,JM,2020-05-13 19:42:49,17.88,-76.41,87.8,66,20,20.8
1,Rikitea,PF,2020-05-13 19:38:07,-23.12,-134.97,77.85,86,7,14.05
2,Busselton,AU,2020-05-13 19:42:49,-33.65,115.33,50.0,70,0,5.75
3,Mezhdurechensk,RU,2020-05-13 19:42:49,53.69,88.06,55.71,71,100,2.35
4,Ulladulla,AU,2020-05-13 19:42:49,-35.35,150.47,52.0,100,40,11.41
5,Talnakh,RU,2020-05-13 19:42:49,69.49,88.4,24.8,92,40,17.9
6,Atid,RO,2020-05-13 19:42:49,46.45,25.05,64.4,55,45,5.82
7,Kapustin Yar,RU,2020-05-13 19:42:49,48.58,45.74,50.86,66,47,13.94
8,Sisimiut,GL,2020-05-13 19:42:49,66.94,-53.67,43.2,76,52,4.68
9,Baldeogarh,IN,2020-05-13 19:42:50,24.75,79.07,87.49,23,0,3.15
10,Taoudenni,ML,2020-05-13 19:42:50,22.68,-3.98,93.15,11,0,8.75
11,Ushuaia,AR,2020-05-13 19:42:50,-54.8,-68.3,41.0,75,75,5.82
12,Chuy,UY,2020-05-13 19:42:50,-33.7,-53.46,60.33,59,0,8.25
13,Urumqi,CN,2020-05-13 19:42:50,43.8,87.6,69.8,35,0,6.71
14,Butaritari,KI,2020-05-13 19:42:50,3.07,172.79,83.48,80,3,13.27
15,Saint Anthony,US,2020-05-13 19:42:50,45.02,-93.22,57.2,43,90,10.29
16,Leningradskiy,RU,2020-05-13 19:38:43,69.38,178.42,27.77,97,98,2.28
17,Thompson,CA,2020-05-13 19:42:51,55.74,-97.86,59.0,24,40,17.22
18,Mataura,NZ,2020-05-13 19:42:51,-46.19,168.86,44.8,79,100,3.89
19,Mar Del Plata,AR,2020-05-13 19:38:48,-38.0,-57.56,57.0,62,75,13.87
20,Castro,BR,2020-05-13 19:42:51,-24.79,-50.01,63.1,83,97,7.61
21,Faanui,PF,2020-05-13 19:38:03,-16.48,-151.75,81.79,76,9,16.04
22,Paamiut,GL,2020-05-13 19:42:51,61.99,-49.67,40.53,88,28,8.05
23,Sangin,AF,2020-05-13 19:42:51,32.07,64.84,81.64,20,100,5.82
24,Port Alfred,ZA,2020-05-13 19:42:51,-33.59,26.89,63.0,79,25,7.0
25,Lata,PT,2020-05-13 19:42:51,40.16,-8.33,61.0,83,100,1.01
26,Bluff,NZ,2020-05-13 19:42:51,-46.6,168.33,49.46,82,100,9.8
27,Tuatapere,NZ,2020-05-13 19:42:52,-46.13,167.68,47.7,87,100,5.73
28,Chengde,CN,2020-05-13 19:42:52,40.97,117.94,59.0,59,100,1.45
29,Nikolskoye,RU,2020-05-13 19:42:52,59.7,30.79,44.01,86,75,6.71
30,Airai,TL,2020-05-13 19:42:52,-8.93,125.41,58.01,100,81,3.76
31,Tasiilaq,GL,2020-05-13 19:42:52,65.61,-37.64,33.8,80,20,10.29
32,Albany,US,2020-05-13 19:41:59,42.6,-73.97,57.99,20,0,8.01
33,Adelaide,AU,2020-05-13 19:38:19,-34.93,138.6,52.0,71,34,2.24
34,Malakal,SS,2020-05-13 19:42:52,9.53,31.66,92.26,36,0,5.44
35,Barrow,US,2020-05-13 19:42:52,71.29,-156.79,19.4,85,1,20.8
36,Okhotsk,RU,2020-05-13 19:42:52,59.38,143.3,34.3,92,100,7.74
37,Taihe,CN,2020-05-13 19:42:53,30.87,105.38,65.21,85,100,0.76
38,Palmer,US,2020-05-13 19:42:53,42.16,-72.33,59.0,22,20,12.75
39,Punta Arenas,CL,2020-05-13 19:42:53,-53.15,-70.92,44.6,75,75,9.17
40,Suzaka,JP,2020-05-13 19:42:53,36.65,138.32,46.99,75,0,2.44
41,Geraldton,AU,2020-05-13 19:42:53,-28.77,114.6,57.2,54,0,5.82
42,Hermanus,ZA,2020-05-13 19:42:53,-34.42,19.23,55.99,93,2,6.91
43,Buala,SB,2020-05-13 19:42:53,-8.14,159.59,81.34,80,100,7.2
44,Kyzyl-Suu,KG,2020-05-13 19:42:53,42.34,78.0,53.91,68,100,1.34
45,Naze,JP,2020-05-13 19:38:07,28.37,129.48,62.6,82,100,3.36
46,Santa,PH,2020-05-13 19:42:54,17.49,120.43,81.28,72,100,3.91
47,Ponta Do Sol,PT,2020-05-13 19:42:54,32.67,-17.1,66.2,45,20,11.41
48,Nanortalik,GL,2020-05-13 19:42:54,60.14,-45.24,40.12,92,100,5.97
49,Isangel,VU,2020-05-13 19:42:54,-19.55,169.27,71.67,73,48,10.25
50,Vicuna,CL,2020-05-13 19:42:54,-30.03,-70.71,62.6,67,32,11.41
51,Saskylakh,RU,2020-05-13 19:42:54,71.92,114.08,29.19,98,100,5.86
52,Yellowknife,CA,2020-05-13 19:40:05,62.46,-114.35,26.6,49,75,4.7
53,Bonnyville,CA,2020-05-13 19:42:54,54.27,-110.73,57.2,26,75,11.41
54,Zhigansk,RU,2020-05-13 19:38:06,66.77,123.37,26.26,97,100,7.16
55,Saint-Joseph,RE,2020-05-13 19:42:55,-21.37,55.62,69.8,73,48,3.36
56,Kismayo,SO,2020-05-13 19:42:55,-0.36,42.55,82.0,79,100,13.27
57,Colares,PT,2020-05-13 19:42:55,38.8,-9.45,61.0,76,2,11.77
58,Egvekinot,RU,2020-05-13 19:42:55,66.32,-179.17,25.57,96,55,12.37
59,Jamestown,US,2020-05-13 19:42:55,42.1,-79.24,52.0,27,1,5.82
60,Lebu,CL,2020-05-13 19:42:56,-37.62,-73.65,56.84,75,48,10.71
61,Hithadhoo,MV,2020-05-13 19:42:56,-0.6,73.08,84.36,76,100,11.5
62,Port Elizabeth,ZA,2020-05-13 19:42:56,-33.92,25.57,60.8,87,1,18.34
63,Labuhan,ID,2020-05-13 19:42:56,-6.88,112.21,77.47,87,88,6.4
64,Christchurch,NZ,2020-05-13 19:42:56,-43.53,172.63,46.99,100,90,3.36
65,Vila Franca Do Campo,PT,2020-05-13 19:42:56,37.72,-25.43,59.0,58,40,14.99
66,Vaini,TO,2020-05-13 19:42:56,-21.2,-175.2,73.4,100,75,3.36
67,Baruun-Urt,MN,2020-05-13 19:42:56,46.68,113.28,50.5,51,41,12.17
68,Colorado,BR,2020-05-13 19:42:57,-22.84,-51.97,69.01,99,84,1.99
69,Mahebourg,MU,2020-05-13 19:38:09,-20.41,57.7,73.4,69,40,6.93
70,Hazorasp,UZ,2020-05-13 19:42:57,41.32,61.07,59.0,77,51,4.7
71,Suntar,RU,2020-05-13 19:42:57,62.14,117.63,28.38,98,18,3.89
72,Arraial Do Cabo,BR,2020-05-13 19:41:22,-22.97,-42.03,82.4,58,75,10.29
73,Karatau,KZ,2020-05-13 19:42:58,43.17,70.47,62.4,78,100,11.01
74,Garoua Boulai,CM,2020-05-13 19:42:58,5.88,14.55,67.46,94,100,0.54
75,Lavrentiya,RU,2020-05-13 19:42:58,65.58,-171.0,33.78,93,96,4.25
76,Warren,US,2020-05-13 19:42:59,39.43,-84.17,60.8,41,90,14.99
77,Salalah,OM,2020-05-13 19:42:59,17.02,54.09,84.2,83,0,3.36
78,Horadiz,AZ,2020-05-13 19:43:00,39.45,47.34,64.4,82,40,6.93
79,Sao Gabriel Da Cachoeira,BR,2020-05-13 19:43:00,-0.13,-67.09,77.11,89,99,1.36
80,Cayenne,GF,2020-05-13 19:43:00,4.93,-52.33,82.4,74,75,12.75
81,Mikkeli,FI,2020-05-13 19:43:01,61.69,27.27,39.99,76,100,4.7
82,Bandundu,CD,2020-05-13 19:43:01,-3.32,17.37,74.1,89,82,0.54
83,Xinzhou,CN,2020-05-13 19:43:01,38.41,112.73,60.04,46,20,7.18
84,Kruisfontein,ZA,2020-05-13 19:43:01,-34.0,24.73,56.84,89,0,11.12
85,Lensk,RU,2020-05-13 19:43:01,60.73,114.93,29.61,97,13,2.44
86,Yulara,AU,2020-05-13 19:43:01,-25.24,130.99,48.2,36,0,10.29
87,Cabo San Lucas,MX,2020-05-13 19:39:45,22.89,-109.91,89.6,20,5,8.05
88,Hobart,AU,2020-05-13 19:43:02,-42.88,147.33,48.99,66,40,8.05
89,Laguna,US,2020-05-13 19:38:21,38.42,-121.42,68.0,55,100,1.99
90,Luorong,CN,2020-05-13 19:43:02,24.41,109.61,76.1,87,77,7.83
91,Waikuku,NZ,2020-05-13 19:43:02,-43.3,172.68,46.99,100,90,3.36
92,Panaba,MX,2020-05-13 19:43:02,21.28,-88.27,91.49,51,8,9.66
93,Souillac,MU,2020-05-13 19:43:02,-20.52,57.52,73.4,69,40,6.93
94,Kodiak,US,2020-05-13 19:43:02,57.79,-152.41,53.6,50,1,4.7
95,Georgetown,MY,2020-05-13 19:43:02,5.41,100.34,84.2,83,20,5.82
96,Sao Jose Da Coroa Grande,BR,2020-05-13 19:38:12,-8.9,-35.15,79.86,83,30,9.01
97,Lompoc,US,2020-05-13 19:43:03,34.64,-120.46,69.8,40,1,20.8
98,Yatou,CN,2020-05-13 19:43:03,37.15,122.38,58.12,65,100,10.65
99,Lesozavodsk,RU,2020-05-13 19:43:03,45.48,133.42,41.16,74,0,7.72
100,Kaitangata,NZ,2020-05-13 19:43:03,-46.28,169.85,46.99,92,100,3.0
101,George Town,MY,2020-05-13 19:41:11,5.41,100.34,84.2,83,20,5.82
102,Port Blair,IN,2020-05-13 19:43:03,11.67,92.75,81.46,84,100,17.31
103,Khatanga,RU,2020-05-13 19:43:03,71.97,102.5,23.23,98,85,7.4
104,Aitape,PG,2020-05-13 19:43:03,-3.14,142.35,77.9,85,59,4.54
105,Ugoofaaru,MV,2020-05-13 19:43:03,5.67,73.0,84.61,76,98,8.57
106,Severo-Kurilsk,RU,2020-05-13 19:38:26,50.68,156.12,36.57,84,100,16.62
107,Fayaoue,NC,2020-05-13 19:43:04,-20.65,166.53,72.86,54,1,2.46
108,Saldanha,ZA,2020-05-13 19:42:48,-33.01,17.94,57.2,82,0,4.7
109,Norman Wells,CA,2020-05-13 19:43:04,65.28,-126.83,30.2,46,40,16.11
110,Chokurdakh,RU,2020-05-13 19:38:25,70.63,147.92,33.67,100,100,8.12
111,Matay,EG,2020-05-13 19:43:04,28.42,30.78,83.93,15,99,15.48
112,Vostok,RU,2020-05-13 19:43:04,46.49,135.88,34.3,90,0,5.17
113,Nortelandia,BR,2020-05-13 19:43:04,-14.45,-56.8,87.73,57,77,1.57
114,Vallenar,CL,2020-05-13 19:43:04,-28.57,-70.76,76.73,25,4,5.95
115,Katsuura,JP,2020-05-13 19:43:04,35.13,140.3,64.4,39,0,6.93
116,Ambatofinandrahana,MG,2020-05-13 19:43:04,-20.55,46.8,55.11,96,9,0.69
117,Tuktoyaktuk,CA,2020-05-13 19:43:05,69.45,-133.04,17.6,78,90,9.17
118,Alenquer,BR,2020-05-13 19:43:04,-1.94,-54.74,86.0,74,20,5.82
