,Country,Income_Per_Capita,Population_Total,Population_Median_Age,Percent_Population_over_60,Percent_Goverment_Expenditure_on_Health,Female_Life_Expectancy,Male_Life_Expectancy,Liters_of_Alcohol,Percent_Population_Access_To_Clean_Water,Cell_phones_per_100_people,Cell_phones_total,Measles_immunization
1,Albania,6000.0,3172.0,29.0,13.0,11.3,63.0,59.0,2.01,97.0,48.9,1100000.0,97.0
2,Algeria,5940.0,33351.0,24.0,7.0,9.5,62.0,60.0,0.15,85.0,41.5,4682690.0,83.0
4,Angola,3890.0,16557.0,17.0,4.0,5.0,35.0,32.0,3.86,51.0,10.3,940000.0,45.0
6,Argentina,11670.0,39134.0,29.0,14.0,14.2,68.0,62.0,8.4,96.0,57.4,13500000.0,99.0
7,Armenia,4950.0,3010.0,32.0,14.0,9.7,63.0,59.0,1.48,98.0,10.5,203309.0,94.0
8,Australia,33940.0,20530.0,37.0,18.0,17.2,74.0,71.0,9.02,100.0,91.4,16400000.0,94.0
9,Austria,36040.0,8327.0,40.0,22.0,15.5,74.0,69.0,11.08,100.0,105.8,7989955.0,75.0
10,Azerbaijan,5430.0,8406.0,28.0,9.0,3.6,59.0,56.0,4.54,78.0,26.7,1782900.0,98.0
13,Bangladesh,1230.0,155991.0,22.0,6.0,7.4,53.0,55.0,0.0,80.0,6.3,4327516.0,81.0
15,Belarus,9700.0,9742.0,38.0,18.0,10.2,65.0,57.0,5.53,100.0,42.0,1118000.0,99.0
17,Belize,7080.0,282.0,21.0,6.0,10.9,62.0,58.0,6.25,91.0,44.3,97755.0,95.0
18,Benin,1250.0,8760.0,18.0,4.0,13.1,45.0,43.0,1.29,65.0,10.0,236175.0,85.0
20,Bhutan,4000.0,649.0,23.0,7.0,7.3,53.0,53.0,0.23,81.0,4.7,17800.0,93.0
21,Bolivia,3810.0,9354.0,21.0,7.0,11.6,55.0,54.0,3.23,86.0,26.4,1800789.0,64.0
22,Bosnia and Herzegovina,6780.0,3926.0,38.0,19.0,14.0,66.0,62.0,9.05,99.0,40.8,1050000.0,90.0
23,Botswana,11730.0,1858.0,21.0,5.0,17.8,35.0,36.0,4.29,96.0,46.6,563782.0,90.0
24,Brazil,8700.0,189323.0,27.0,9.0,7.2,62.0,57.0,5.76,91.0,46.3,65600000.0,99.0
26,Bulgaria,10270.0,7693.0,41.0,23.0,11.9,67.0,63.0,5.86,99.0,80.8,4729731.0,96.0
27,Burkina Faso,1130.0,14359.0,17.0,4.0,15.8,36.0,35.0,5.01,72.0,4.8,398000.0,84.0
28,Burundi,320.0,8173.0,17.0,4.0,2.3,37.0,33.0,9.1,71.0,2.0,64000.0,75.0
29,Cambodia,1550.0,14197.0,20.0,5.0,10.7,49.0,46.0,1.48,65.0,7.5,498388.0,79.0
30,Cameroon,2060.0,18175.0,19.0,5.0,8.6,42.0,41.0,3.77,70.0,13.8,1536594.0,68.0
31,Canada,36280.0,32577.0,39.0,18.0,17.9,74.0,70.0,7.8,100.0,52.5,15000000.0,94.0
32,Cape Verde,2590.0,519.0,20.0,5.0,13.2,63.0,59.0,4.78,80.0,17.2,65780.0,65.0
33,Central African Republic,690.0,4265.0,18.0,6.0,10.9,38.0,37.0,1.53,66.0,2.5,60000.0,35.0
34,Chad,1170.0,10468.0,17.0,5.0,9.5,42.0,40.0,0.31,48.0,2.1,123000.0,23.0
35,Chile,11300.0,16465.0,31.0,12.0,14.1,70.0,65.0,6.6,95.0,67.8,9566581.0,90.0
36,China,4660.0,1328474.0,33.0,11.0,9.9,65.0,63.0,5.2,88.0,29.9,335000000.0,86.0
37,Colombia,6130.0,45558.0,26.0,8.0,17.0,66.0,58.0,5.68,93.0,47.9,10400000.0,89.0
38,Comoros,1140.0,818.0,19.0,4.0,8.0,55.0,54.0,0.31,85.0,2.0,2000.0,80.0
39,"Congo, Dem. Rep.",270.0,60644.0,16.0,4.0,7.2,39.0,35.0,1.86,46.0,4.8,1000000.0,70.0
